time_step,text_hash,source_label,trace_status,trace_error,trace_mode,ate,ate_ci_lower,ate_ci_upper,ci_width,refuted_count,identifiable,concept_count,edge_count,adj_density,max_delta_nll,concept_coverage,condition_number,unk_rate,ccm_coverage_pct,ccm_verdict,edm_rho_high,edm_rho_mid,havok_status,havok_linear_pct,causallearn_consensus,edge_stability_mean,permutation_p_value,total_ms,consensus_score,consensus_direction,z_pca_1,z_pca_2,z_pca_3,secular_entropy,z_福音,z_吉祥,z_奥美,z_存在,z_自孕,z_弥赛亚,z_Alice,z_觉爱,dz_福音,dz_吉祥,dz_奥美,dz_存在,dz_自孕,dz_弥赛亚,dz_Alice,dz_觉爱,d2z_福音,d2z_吉祥,d2z_奥美,d2z_存在,d2z_自孕,d2z_弥赛亚,d2z_Alice,d2z_觉爱,z_福音_zscore,z_吉祥_zscore,z_奥美_zscore,z_存在_zscore,z_自孕_zscore,z_弥赛亚_zscore,z_Alice_zscore,z_觉爱_zscore,dz_福音_zscore,dz_吉祥_zscore,dz_奥美_zscore,dz_存在_zscore,dz_自孕_zscore,dz_弥赛亚_zscore,dz_Alice_zscore,dz_觉爱_zscore,d2z_福音_zscore,d2z_吉祥_zscore,d2z_奥美_zscore,d2z_存在_zscore,d2z_自孕_zscore,d2z_弥赛亚_zscore,d2z_Alice_zscore,d2z_觉爱_zscore
2026-07-01,ac191a48,临海日报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198564445051115,-0.0210698600607824,-0.0250776272049563,0.9811955212738378,-0.8956042973462143,-0.1436160206999284,0.0231505286470834,0.153301149087501,0.0803304532923028,0.0715883120127464,0.058897141015033,-0.1005902161869705,,,,,,,,,,,,,,,,,-1.1244942770668942,-0.8329656071192025,0.327234677504122,-1.1421462017091737,-0.898548243487864,-0.485112688808306,-0.9916046476837695,2.133498724091428,,,,,,,,,,,,,,,,
2026-07-02,43899c74,临海城建,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0091014251306238,0.0045228740962206,-0.0036992139412973,0.7284899392832208,-0.8893219287787635,-0.1387204615649338,0.019130113445755,0.1563828732393911,0.0843424168860332,0.0755457048034946,0.0720916669354316,-0.1121279689214759,7.27125991603101e-08,5.666156406243677e-08,-4.6532583348708674e-08,3.5668103609839034e-08,4.643476381632301e-08,4.580315730032648e-08,1.527144203749836e-07,-1.335388047975157e-07,,,,,,,,,-0.1332282431149596,0.6252451347596689,-0.8075766417694051,-0.7337261059050483,-0.2192288833235159,0.6783904800426602,1.6994411610720093,-0.1958411839115134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2026-07-03,4b5be9a9,海关通讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025292969329658,0.003708738495077,-0.001682053319671,0.8384024030223071,-0.8895251221653564,-0.137966590229934,0.0191086462589312,0.1527720631268617,0.0846744154801017,0.0715305438364535,0.0656429413597606,-0.1082883407733681,-2.351775307788365e-09,8.72536267360938e-09,-2.4846281046069053e-10,-4.179178370983096e-08,3.842576320237461e-09,-4.6471770451864635e-08,-7.46380274961918e-08,4.444014060309891e-08,-8.688006304178064e-13,-5.548171457040209e-13,5.356958395630553e-13,-8.965264736072916e-13,-4.929651330565457e-13,-1.0679968489836934e-12,-2.631394072583049e-12,2.059941497692299e-12,-0.2032679025007351,0.9134129755004332,-0.9434204995628492,-1.1692947085440173,-0.1213890249867773,-0.8095109097085775,0.4092644784178155,0.6422779690095524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,67e45228,临海财经,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.013501813748871,-0.0195319714062943,-0.03202902481705,0.7950948810039948,-0.8944674224501418,-0.1368491809242976,0.0180106366525827,0.1484625474246523,0.0834999324150835,0.0716263474960804,0.0550786284147581,-0.1052028204625338,-5.720254959242329e-08,1.2932978074494624e-08,-1.2708444517922008e-08,-4.987865396075648e-08,-1.3593553993265758e-08,1.108838653088801e-09,-1.222721405671584e-07,3.5712040634656385e-08,-6.34846924590682e-13,4.869925232506069e-14,-1.4421275124376525e-13,-9.359803531163804e-14,-2.0180706381369466e-13,5.507014942702943e-13,-5.513207531361874e-13,-1.0101967556067747e-13,-1.048048996132107,1.1488716612103478,-1.1679839467196005,-1.7454483890832568,-0.3684584391542819,-0.6963968367455525,-1.550582545766454,1.2775422894839954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,8678a74f,财经快讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126491052541112,-0.0121883228089196,-0.0173118441298061,0.9505730816168376,-0.8911831763854452,-0.1424552375004147,0.0183006346996959,0.1551780064972837,0.0856830253789246,0.0750272498653726,0.0559823421889895,-0.1075051424438362,3.80121072302844e-08,-6.488491407542903e-08,3.3564588786245403e-09,7.772522074804904e-08,2.526727967408715e-08,3.9362295940882494e-08,1.0459650164714333e-08,-2.6647245153963404e-08,1.1020214910035613e-12,-9.00670048031524e-13,1.8593638190447396e-13,1.4768966980185826e-12,4.497781674462142e-13,4.427483482383529e-13,1.5362475779151933e-12,-7.217509929238399e-13,-0.4566641317105428,-0.5589268737459663,-0.9943171507586832,-0.704253478005327,0.063924655676063,0.5519181863754734,-1.2574824126765982,0.7676649971376642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06,0006d193,港口内讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194648347572265,-0.0170069136240405,-0.019058152061131,0.993955114223368,-0.8920380997280849,-0.1440788800875122,0.0281629805794369,0.157570705213337,0.0770231197024482,0.0675068956276193,0.0606427032446865,-0.1040854367969577,-9.894946095366921e-09,-1.8792159572887943e-08,1.141475217562616e-07,2.769327217654217e-08,-1.0023038977403256e-07,-8.704113701103337e-08,5.393936407056726e-08,3.9579926468502014e-08,-5.544797838617051e-13,5.334809548905219e-13,1.2823039684911696e-12,-5.790734788368849e-13,-1.4525193223162006e-12,-1.4630026962027297e-12,5.032374294658904e-13,7.665181900748312e-13,-0.6188711111041312,-0.9527597358566487,1.6140185539088452,-0.3973001258337803,-1.4849331440139393,-1.99502212732295,-0.3387158230714131,1.3195448124643696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-07,9da113c9,临海日报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0135259293429839,0.006652725420014,-0.002664142942822,0.5588118321652144,-0.8890829420087645,-0.1334215562378914,0.0179123190844854,0.1549599685687093,0.0844709110339347,0.0776604722112347,0.0744340997708845,-0.104235168836225,3.4203214343986374e-08,1.233486556669079e-07,-1.186419154508268e-07,-3.021685931282013e-08,8.620128855887106e-08,1.1751824749554865e-07,1.596226449791433e-07,-1.7330097137423495e-09,5.103953754554779e-13,1.6451483245346741e-12,-2.6943221898968562e-12,-6.702561514972487e-13,2.157774054778977e-12,2.367585468826181e-12,1.2231861216270373e-12,-4.781589835907913e-13,-0.1153662242486991,1.9586595796514572,-1.0830466958765703,-0.7223568951819721,-0.0925310734347833,1.3853782621333268,2.0274423409730185,1.1644050151448448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,365e305c,财经周报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082140057443997,-0.0102975785231247,-0.0152826266933161,0.880252412096424,-0.8929793615352879,-0.137880957830197,0.0168422629223853,0.151178137362044,0.0891878291804347,0.0745587271570445,0.0581198599566875,-0.1060275550544379,-4.50974482236507e-08,-5.1613444355389153e-08,-1.2384909283565776e-08,-4.3771194521589546e-08,5.459396002893576e-08,-3.5899827016090574e-08,-1.888222200717241e-07,-2.0745210858944952e-08,-9.17831742680985e-13,-2.025024305813623e-12,1.229826460269225e-12,-1.568788797311275e-13,-3.658255616890659e-13,-1.775672158699528e-12,-4.032926678829483e-12,-2.2004862436577082e-13,-0.7512894316693832,0.6849129510108236,-1.3681247864373507,-1.1521155644807048,0.7107017281221389,0.2190352675448607,-0.96671285185932,0.7392350598832802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,38b43661,临海商务,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066909018173459,0.0258605584743007,-0.0241805279495463,0.7437293122758158,-0.8771595128892401,-0.1457911139712021,0.019604727217785,0.1704352794107772,0.0985516424929485,0.079649138140307,0.0619618932812494,-0.1096665558744821,1.8310010006999765e-07,-9.155273311348461e-08,3.1972966381940464e-08,2.2288358852700485e-07,1.083774688948349e-07,5.8916793787760613e-08,4.4467978293540265e-08,-4.2118065046808064e-08,2.6411753274727817e-12,-4.622602865520308e-13,5.13401338721137e-13,3.086282211210584e-12,6.224943155775364e-13,1.0974145926371665e-12,2.700118036635004e-12,-2.473709975447119e-13,1.7622858853967545,-1.449117836559066,-0.5696020801545294,1.3929816049490316,2.0410883908805952,1.7963844247993344,-0.1968876977101089,-0.0140323190261163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,9cd613ef,气象通讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186705952790494,0.028534944124908,-0.030003664692296,0.9368442505351852,-0.871979816576394,-0.1477335687553292,0.0274792210557665,0.1732812208892144,0.0995616950081451,0.0778549362884928,0.0659397897316527,-0.1135623402488185,5.995018880608905e-08,-2.248211555702702e-08,9.113997497663789e-08,3.293913748191232e-08,1.1690422629590978e-08,-2.076622513673824e-08,4.604046817596387e-08,-4.509009692519007e-08,-1.4253461951841274e-12,7.994284439404813e-13,6.848033402164056e-13,-2.1984311463552373e-12,-1.1190630354773605e-12,-9.22257163477996e-13,1.8200114379902868e-14,-3.4398517110902956e-14,2.233614710806924,-1.7130641405035116,1.3753040871636446,1.7668953004311323,2.0331868056149736,1.0830816228579745,0.5185247567168809,-0.9433307321043526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
