time_step,text_hash,source_label,ate,ate_ci_lower,ate_ci_upper,ci_width,refuted_count,identifiable,concept_count,edge_count,adj_density,max_delta_nll,concept_coverage,condition_number,unk_rate,ccm_coverage_pct,ccm_verdict,edm_rho_high,edm_rho_mid,havok_status,havok_linear_pct,causallearn_consensus,edge_stability_mean,permutation_p_value,total_ms,z_pca_1,z_pca_2,z_pca_3,secular_entropy,z_福音,z_吉祥,z_奥美,z_存在,z_自孕,z_弥赛亚,z_Alice,z_觉爱,dz_福音,dz_吉祥,dz_奥美,dz_存在,dz_自孕,dz_弥赛亚,dz_Alice,dz_觉爱,d2z_福音,d2z_吉祥,d2z_奥美,d2z_存在,d2z_自孕,d2z_弥赛亚,d2z_Alice,d2z_觉爱
2026-07-12 03:10,97c21308,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,-0.0479315953076038,-0.06960902875513916,0.06986532127789058,0.9871025827473641,-0.7045166525879168,-0.23112238974300953,0.029967945397597246,0.0982809895657667,0.1048000869385319,0.09693017607751277,0.06623753457334342,-0.202029331370696,,,,,,,,,,,,,,,,
2026-07-12 08:57,c32f1b5f,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,-0.08460352085925285,-0.07225534321957677,0.0991115390034876,0.9924694560783799,-0.7039759860418862,-0.21683663403013242,0.015027438736735323,0.10276479156903312,0.0861510508267681,0.1038183357561871,0.046971085668204716,-0.22172325164329296,2.5968614122511436e-08,6.861554136828579e-07,-7.176035860164228e-07,2.1536032676591854e-07,-8.957269986437944e-07,3.308434043551551e-07,-9.253817917934054e-07,-9.45913557761621e-07,,,,,,,,
2026-07-12 14:45,3fa94212,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,-0.033531628541800765,0.0053252803637729345,0.019287459505460534,0.8214118660537598,-0.7273165510533969,-0.20111496121799038,0.0039897141017209425,0.1224737406250439,0.07480740664100477,0.09679154383949264,0.012408573237548536,-0.24202047176106267,-1.1178431518922758e-06,7.529536787424349e-07,-5.286266587650565e-07,9.439151846748459e-07,-5.432779782453704e-07,-3.365321799183171e-07,-1.6552927409318095e-06,-9.720890861000822e-07,-5.485907750670442e-11,3.2037537198837894e-12,9.06364159478975e-12,3.494267903639939e-11,1.69040297553201e-11,-3.20084213080802e-11,-3.500771938313689e-11,-1.2554210234273983e-12
2026-07-12 20:32,dfef1bdc,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,-0.128643349587541,-0.02035700810433449,0.05549697531131182,0.7966343938452767,-0.674734438237564,-0.22249626778100617,0.025338850467296045,0.12075140898286674,0.11649075674770559,0.10614886268628972,0.05088686898260304,-0.2369348403300045,2.5255577721341456e-06,-1.0269599694051772e-06,1.025414811026662e-06,-8.272486273665543e-08,2.002082137689761e-06,4.4943894557142554e-07,1.8481410060064606e-06,2.442666393399697e-07,1.7474344959359337e-10,-8.536756106223559e-11,7.453436305955485e-11,-4.923933081110318e-11,1.220796218673924e-10,3.7696456858021227e-11,1.6803039553660767e-10,5.833840409784422e-11
2026-07-13 02:20,3482f71f,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,-0.18246137445205476,0.018637617562135344,0.030681847803958773,0.5995789491399932,-0.6491362590971217,-0.21815768933543556,0.017884413564053965,0.1261651095943739,0.11997864039171299,0.11994329690552255,0.027726473825192662,-0.23885600161703419,1.2259664339292274e-06,2.077863240215813e-07,-3.570132616495249e-07,2.592768492101136e-07,1.670442358241092e-07,6.606529798483159e-07,-1.109214327462183e-06,-9.200964018341391e-08,-6.233051981798168e-11,5.922044572790208e-11,-6.630350468470921e-11,1.6402959805600435e-11,-8.801141016142215e-11,1.013016950968299e-11,-1.4183958433902366e-10,-1.6128358730138302e-11
2026-07-13 08:07,9946e739,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,0.032745345130195246,-0.07748870671855322,-0.09733441037375662,0.9232478089076065,-0.731195752330216,-0.20974209031032803,0.04858989874628559,0.10500108404080974,0.09210799692009199,0.11685059943622432,0.04767492404750597,-0.19619080506941075,-3.941378157209143e-06,4.0420744597058227e-07,1.474807165332931e-06,-1.0165238018042349e-06,-1.338647621115322e-06,-1.4854454703641838e-07,9.58138819515529e-07,2.0492409484929606e-06,-2.4783427295627677e-10,9.420677311702685e-12,8.785709481930244e-11,-6.118947966495676e-11,-7.221543678366577e-11,-3.881043294411195e-11,9.915362815240825e-11,1.0269786996049758e-10
2026-07-13 13:55,14b4a6fb,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,0.11348154059826719,-0.14859572976141572,-0.04353066688848199,0.9066551364675034,-0.7672167525496039,-0.20644863324946347,0.046450630669454596,0.09553250372842204,0.06546640149464743,0.11413643799340717,0.07009118989426164,-0.16894585089280043,-1.7251436886679986e-06,1.5773261785749824e-07,-1.0245536766431957e-07,-4.5347606860094366e-07,-1.2759384782301034e-06,-1.2998857484756468e-07,1.073575950515118e-06,1.3048349701441726e-06,1.0629421911468316e-10,-1.1821334681682687e-11,-7.564808311737413e-11,2.7004687443802938e-11,3.007632752288664e-12,8.899746853167242e-13,5.536553045543841e-12,-3.5702924621044985e-11
2026-07-13 19:43,f6db654a,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,-0.07261437780402924,-0.03537531439128108,-0.05824458194978516,0.9635200954255885,-0.7114392990166203,-0.21460022392299738,0.010281638974183226,0.12065514615558263,0.11169692986360286,0.12600463416265928,0.03857301678389628,-0.21387231212790908,2.6713339814647306e-06,-3.904018521807428e-07,-1.7322314030302378e-06,1.2031916871245498e-06,2.214105764796716e-06,5.684001996768252e-07,-1.5094910493469997e-06,-2.1516504422944758e-06,2.105592753894985e-10,-2.625165086390043e-11,-7.805440782403823e-11,7.934232546578034e-11,1.671477127886408e-10,3.344773824350526e-11,-1.2371010535738112e-10,-1.6554048910146784e-10
2026-07-14 01:30,c38086f8,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,0.10161490338921621,-0.15056621931288897,0.12908173038605508,0.9885290714055349,-0.7597462071369119,-0.22854114715762838,0.03070085841342146,0.07985652922792764,0.044981594083514646,0.1033967188178189,0.06384565536722833,-0.1644235545927847,-2.3202165283521417e-06,-6.695928546892893e-07,9.80750213219896e-07,-1.959587748686599e-06,-3.2043869250762826e-06,-1.0858748964860896e-06,1.213863524655718e-06,2.375060400342189e-06,-2.394029021494903e-10,-1.3390455755805588e-11,1.3011902236211672e-10,-1.5169205927151793e-10,-2.598797453176498e-10,-7.934173123083524e-11,1.306165263310656e-10,2.171084336996002e-10
2026-07-14 07:18,9c198aed,手动输入,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,0.010426436100937856,-0.05227915975423574,-0.11934358076947271,0.7272034883175048,-0.7572791194660524,-0.16634422750511796,0.017677390821912733,0.10970583051106204,0.1207403679678744,0.10205097435937209,0.0344739318393832,-0.20206112022418538,1.1815553979211964e-07,2.978779676844369e-06,-6.237292907810693e-07,1.4295642376980077e-06,3.6282937684080343e-06,-6.445136295243315e-08,-1.4066917398393262e-06,-1.802565403802714e-06,1.1694830063042022e-10,1.7498189599681815e-10,-7.69534534293029e-11,1.6254925594170774e-10,3.277065080807826e-10,4.8989138298976326e-11,-1.2568610381271197e-10,-2.0036574600215363e-10
