z_pca_1,z_存在,z_觉爱
-0.0086144653949054,0.1474008414143205,-0.1138006104464028
-0.0298615400151512,0.1406641784595533,-0.1025296149432632
0.0351923618604375,0.1491812249034619,-0.1091612040369596
0.0568583685427349,0.1581477917171038,-0.1105411833072507
0.0607841404843184,0.1636201466758223,-0.1077177519308711
-0.0076616222683427,0.1503882223598404,-0.1008117140447772
0.0007601365740374,0.1444236016982609,-0.1097559647030087
0.0260658647036033,0.1552434995159747,-0.1138993555582522
0.0457635639438244,0.1618931630900869,-0.1126600708285961
0.0188982305666971,0.1509537469230244,-0.1138314681632274
0.0330246205833067,0.1608724151623685,-0.1141309985275556
0.0017778842428542,0.1422564829666248,-0.0961617384066323
-0.0147402477069069,0.1400382386983984,-0.0939379898001706
-0.0013725304986337,0.1531724510207417,-0.1130588177755765
0.0389740130938769,0.1600823291160054,-0.1079200971573226
0.0389740130938769,0.1600823291160054,-0.1079200971573226
0.0389740130938769,0.1600823291160054,-0.1079200971573226
0.0,0.1600823291160054,-0.1079200971573226
0.0,0.1600823291160054,-0.1079200971573226
0.0,0.1600823291160054,-0.1079200971573226
0.0,0.1600823291160054,-0.1079200971573226
-0.0170558945234557,0.1502428043485234,-0.1116954953182991
-0.0033519095987715,0.1582239132870589,-0.1131657214425705
-0.0183247671069195,0.1605406614655914,-0.1012145124522289
-0.0188171832639976,0.1538220741075891,-0.1002692656370546
0.0106150358373791,0.1612889199959914,-0.1119764848304067
-0.0211798314755603,0.1501793996213052,-0.1063155831684079
0.0007453838970377,0.159334311972588,-0.1078806250246293
-0.0052166478052275,0.1579004969751208,-0.1085248373961436
-0.002679217910004,0.1631280691908913,-0.1150811499384392
-0.0054872475003359,0.1594331455665611,-0.1134149955756141
-0.0064507931576598,0.1663406541941604,-0.1106747686692361
-0.0016723668081655,0.1586199781330527,-0.1157936327686983
0.0035680508081863,0.163853973584403,-0.113184817355188
-0.0081599407392632,0.1585091765479921,-0.1087624540155714
-0.0309955015556509,0.1452557391231864,-0.0992392005758058
0.008463418307459,0.1644372220835847,-0.104767486547789
-0.00930957478337,0.1522532188003617,-0.1172042524048055
-0.0108715484772275,0.1637444574152251,-0.1049330625056699
0.0010660128939409,0.1509370890483369,-0.1057639779471811
0.0410013664405629,0.1628269049539254,-0.1093487968790257
0.0281356643067436,0.1534074190466856,-0.1143802971739037
0.031283154705752,0.1617763659248272,-0.1131637883167082
0.0311057941181911,0.1624276828941294,-0.118788044319367
0.033356455486666,0.1576707264256867,-0.1100108815470817
0.024403508850154,0.1730575707351971,-0.1187771044438363
0.0195264182454149,0.1686917640994323,-0.1151742226955336
0.0317579692078097,0.1642113304318895,-0.1103609898100608
0.0232547978841249,0.1739645626864021,-0.1138364643073966
0.0246369635074219,0.1605730328076578,-0.1153302696406747
0.0183461506298108,0.1606732338387443,-0.1121753305713022
0.0411967814301937,0.1502428043485234,-0.1116954953182991
0.0325248255347991,0.1605406614655914,-0.1012145124522289
0.0222531006222995,0.1612889199959914,-0.1119764848304067
0.0366395557556487,0.1579004969751208,-0.1085248373961436
0.0195264182454149,0.1686917640994323,-0.1151742226955336
